key,dataset,feature,family,setting,axis,H,observer,loss,group_loss,zero_loss,successful,low,high,scale,score
WDBC__00,WDBC,mean radius,Bar chart,means,zero,256,threshold,0.4323527174147821,0.7982424472539065,2.144469731021561,4,0.4267114380767859,0.4379939967527783,2.410516653707913,69.81520597837627
WDBC__01,WDBC,mean texture,Bar chart,means,zero,256,threshold,0.06699230665918471,0.7223230366885062,1.0101730397394426,4,0.045617596732851,0.0741172099679626,3.916259734095069,93.72138803240846
WDBC__02,WDBC,mean perimeter,Bar chart,means,zero,256,threshold,0.45692098050263014,0.8156675780029198,2.225124373549086,4,0.45692098050263,0.4569209805026302,16.287269345845637,68.63790235589889
WDBC__03,WDBC,mean area,Bar chart,means,zero,256,threshold,0.6620581531180176,0.7569596277530526,1.992501508162291,4,0.6535538822395954,0.6648929100774917,248.397302572926,60.16636650913821
WDBC__04,WDBC,mean smoothness,Bar chart,means,zero,256,threshold,0.043414677989907,0.7472148714342499,0.802189850530686,4,0.0434146779899069,0.0434146779899071,0.0131405302535634,95.8391731585046
WDBC__05,WDBC,mean compactness,Bar chart,means,zero,256,threshold,0.3795263544175181,0.7799678813467565,1.5079960187193386,4,0.3795263544175181,0.3795263544175181,0.0424242499355741,72.48864777376677
WDBC__06,WDBC,mean concavity,Bar chart,means,zero,256,threshold,0.4898333568696014,0.704411073856998,2.016960676180267,4,0.4869004727746019,0.4927662409646009,0.0572647753444237,67.12160090851863
WDBC__07,WDBC,mean concave points,Bar chart,means,zero,256,threshold,0.5382456990696334,0.7552317308493594,2.592899862752084,4,0.5347894796813366,0.5417019184579304,0.0244664442739667,65.0091204938732
WDBC__08,WDBC,mean symmetry,Bar chart,means,zero,256,threshold,0.10891839109678406,0.7493838737488451,0.7068886217023179,4,0.1061565973241794,0.117203772414598,0.0258965831928597,90.17796151896646
WDBC__09,WDBC,mean fractal dimension,Bar chart,means,zero,256,threshold,0.2238747735614601,0.7626254948608562,0.2238747735614601,4,0.2238747735614601,0.2238747735614601,0.0070660037968311,81.70770585376252
WDBC__10,WDBC,radius error,Bar chart,means,zero,256,threshold,0.6522199691175287,0.6755543336578299,1.3830645875970615,4,0.6488274699267819,0.6623974666897692,0.2286032068461238,60.52462860221406
WDBC__11,WDBC,texture error,Bar chart,means,zero,256,threshold,0.12402830509643767,0.7020367241663581,0.1227587105992975,4,0.1227587105992975,0.1278370885878582,0.552115606860959,88.96573115338083
WDBC__12,WDBC,perimeter error,Bar chart,means,zero,256,threshold,0.6540495575568859,0.6664276163819223,1.321966289988079,4,0.6540495575568859,0.654049557556886,1.681820494847905,60.457680692291355
WDBC__13,WDBC,area error,Bar chart,means,zero,256,threshold,0.7696568004422966,0.5388253012636377,1.2490355035028862,4,0.7580610409252746,0.7735220536146372,38.07874145019458,56.50813195813259
WDBC__14,WDBC,smoothness error,Bar chart,means,zero,256,threshold,0.15455953388636934,0.6418750383915531,0.1877029040463673,4,0.1498859977399847,0.159233070032754,0.0029984085907428,86.61311700695887
WDBC__15,WDBC,compactness error,Bar chart,means,zero,256,threshold,0.1556391019980062,0.6751606443044702,0.6128457754801324,4,0.1511580163033232,0.1601201876926892,0.0171373295210721,86.53220527681015
WDBC__16,WDBC,concavity error,Bar chart,means,zero,256,threshold,0.06072745365451082,0.4939191098721139,0.6006687144477244,4,0.0507689667962401,0.0640469492739346,0.0292239625234014,94.2749239264726
WDBC__17,WDBC,concave points error,Bar chart,means,zero,256,threshold,0.06874068789644075,0.6430272089839422,0.9174972699310664,4,0.0647451400856024,0.0727362357072791,0.0056382075124742,93.56806672797867
WDBC__18,WDBC,symmetry error,Bar chart,means,zero,256,threshold,0.1305738030116616,0.6577766457693724,0.1305738030116616,4,0.1305738030116616,0.1305738030116616,0.0082734819319271,88.45066083577785
WDBC__19,WDBC,fractal dimension error,Bar chart,means,zero,256,threshold,0.10628959683783763,0.5272861084413121,0.2022769553363431,4,0.1062895968378376,0.1062895968378377,0.0026403403151483,90.39224474842297
WDBC__20,WDBC,worst radius,Bar chart,means,zero,256,threshold,0.5793549101458584,0.8154495949084944,2.4490655220853155,4,0.5736027301459314,0.5851070901457853,3.04846886809422,63.31699060014616
WDBC__21,WDBC,worst texture,Bar chart,means,zero,256,threshold,0.09935657271194698,0.7590196945522224,1.0542547027912608,4,0.0928204366783928,0.1189649808126087,5.472017326293327,90.96229784055875
WDBC__22,WDBC,worst perimeter,Bar chart,means,zero,256,threshold,0.5953265180989871,0.8113423613659763,2.562994903230928,4,0.595326518098987,0.5953265180989872,20.923568725165023,62.68309268698258
WDBC__23,WDBC,worst area,Bar chart,means,zero,256,threshold,0.777593755309701,0.7250180651797334,2.099445049332308,4,0.7745093971039297,0.7868468299270147,387.1270649634207,56.25582318867762
WDBC__24,WDBC,worst smoothness,Bar chart,means,zero,256,threshold,0.0827801494181103,0.7694879481177102,0.9498102100830976,4,0.0827801494181099,0.0827801494181107,0.0207237191083447,92.35485158620642
WDBC__25,WDBC,worst compactness,Bar chart,means,zero,256,threshold,0.4214552078763912,0.7678650437967044,1.4826009427136595,4,0.4214552078763912,0.4214552078763912,0.1270309458020991,70.35044048232572
WDBC__26,WDBC,worst concavity,Bar chart,means,zero,256,threshold,0.3169947952319262,0.7439986550840296,1.848416959601444,4,0.3169947952319262,0.3169947952319262,0.156941862328806,75.93044434347193
WDBC__27,WDBC,worst concave points,Bar chart,means,zero,256,threshold,0.2080885447274665,0.8160117714837565,2.7191463072567554,4,0.2080885447274665,0.2080885447274665,0.0400323438681821,82.7753896321888
WDBC__28,WDBC,worst symmetry,Bar chart,means,zero,256,threshold,0.3935607807187767,0.7599807978226072,0.9353774582202034,4,0.3935607807187766,0.3935607807187768,0.0563013353990857,71.75862106884321
WDBC__29,WDBC,worst fractal dimension,Bar chart,means,zero,256,threshold,0.39149739039936826,0.7534051719303567,0.7096422831555368,4,0.3856985458210346,0.3972962349777018,0.0171028422179571,71.86502877400251
Cleveland__00,Cleveland,age,Bar chart,means,zero,256,threshold,0.23399217676227463,0.8155363969398798,0.461167340857416,4,0.2339921767622744,0.2339921767622747,8.825429815634669,81.03779090591816
Cleveland__01,Cleveland,trestbps,Bar chart,means,zero,256,threshold,0.2475439006861758,0.8061204368073669,0.172143795625577,4,0.2268800677860473,0.2544318449862186,17.427290882589684,80.15749982425298
Cleveland__02,Cleveland,chol,Bar chart,means,zero,256,threshold,0.1168516971589539,0.7140654056591611,0.195067442522468,4,0.1143800975915954,0.1193232967263124,51.67443561904991,89.53740255253216
Cleveland__03,Cleveland,thalach,Bar chart,means,zero,256,threshold,0.1672449952004934,0.8054081584794088,0.9004037068023738,4,0.1672449952004932,0.1672449952004935,20.8239924584355,85.67181732299771
Cleveland__04,Cleveland,oldpeak,Bar chart,means,zero,256,threshold,0.5571587661282997,0.8055282802308035,0.9544077453023504,4,0.5531518746261636,0.561165657630436,1.0530090571316797,64.21952736947868
HeartFailure__00,HeartFailure,age,Bar chart,means,zero,256,threshold,0.2596894433990163,0.8546021107279956,0.6143214823582146,4,0.2554702491695581,0.2639086376284745,11.52491033330266,79.38464557595267
HeartFailure__01,HeartFailure,creatinine_phosphokinase,Bar chart,means,zero,256,threshold,0.1708440474084899,0.3974174465896017,0.0344430881035375,4,0.1708440474084896,0.17084404740849,970.005938479382,85.40847111221765
HeartFailure__02,HeartFailure,ejection_fraction,Bar chart,means,zero,256,threshold,0.1576435334222848,0.8066476870592414,0.7180953456055503,4,0.1576435334222848,0.1576435334222848,11.419096433615184,86.38237688278265
